Title,Edit_Date,Origal_Date,Link,Content
Elon Musk boosts fake Trump rally bomb threat and false claims about the election | CNN Business,"Published 6:47 PM EDT, Wed September 18, 2024",2024-09-18T22:47:29.583Z,https://www.cnn.com/2024/09/18/media/elon-musk-trump-rally-bomb-election-misinformation/index.html,"Elon Musk is using his social media platform to promote misinformation about the presidential candidates in the lead up to the November election, amplifying false claims Wednesday about a Trump rally bomb threat and immigrants eating pets in Ohio. While Musk’s posting of provocative, incendiary content on X is nothing new, the speed with which he has promoted false claims in recent days is striking given the breadth of Musk’s digital reach, with his posts regularly finding their way atop users’ feeds. The most prominent of Musk’s conspiratorial posts came in the wake of an alleged second assassination attempt on former President Donald Trump, after which Musk wrote in a now-deleted X post that “no one is even trying to assassinate Biden/Kamala.” After much backlash, Musk, who has pledged his support for Trump, ultimately deleted his post, stating that it was meant as a “joke.” During the same weekend, however, Musk also joined a chorus of conspiracy-minded X users circulating a hoax “affidavit” from a purported “whistleblower” that claimed last week’s ABC News debate was rigged to help Kamala Harris. ABC has since confirmed the typo-ridden document was fake. Then on Wednesday, Musk reshared a bogus claim that a bomb had been discovered near the site of a planned Trump rally in Long Island. Police said in a statement that “reports of explosives being found at the site are unfounded.” While Musk’s pithy reaction to the fake threat is still live on X, the initial post has since been deleted. Musk’s own post has been earmarked with a crowd-sourced “community notes” fact-check that makes clear the claim was false. Still, in the post’s first two and a half hours, it garnered 4.3 million views and was reshared 9,800 times. Also on Wednesday, Musk reshared a video falsely claiming the city manager of Springfield, Ohio, admitted in March that there had been reports of Haitian immigrants eating pets, captioning the post “Always Be Cheating News,” a clear knock on ABC’s moderators, who had fact-checked Trump’s false claims on the matter at the debate. The edited video instead showed a Springfield resident sharing that he had heard unconfirmed reports about domesticated animals being harmed. Both the city’s mayor and manager both state during the hearing they have seen no proof of such claims. Musk’s post, which boosted false claims about Haitian immigrants that have been promoted by Trump and his running mate, JD Vance, leading to dozens of bomb threats at schools and municipal buildings in the Ohio city, garnered more than 7.9 million views and 36,000 reshares. Hours later, Musk shared a map purporting to be from Nate Silver, the renowned statistician and FiveThirtyEight founder, projecting a 312-226 electoral college victory for Trump in November, saying the election was “trending well.” The map, however, was a fake. The real map from Silver’s newsletter platform, “Silver Bulletin,” published Wednesday shows several states in play, including Nevada, Wisconsin, Michigan, and Pennsylvania, and Silver himself noted that “the race is really a tossup” in the post. Meanwhile, in simulations from FiveThirtyEight, which Silver parted ways with last year, Harris was forecast to win the election in 64 out of 100 simulations. X did not respond to a CNN request for comment Wednesday on Musk’s posts. Musk is far from the only figure spreading false information on the platform, though he is easily one of its biggest voices. Many of the bogus claims propelled by the billionaire in recent days were also buoyed by other major right-wing voices. Since acquiring Twitter in 2022, Musk has gutted the company’s moderation teams and altered its policies, allowing misinformation and hate speech to spread on the platform. Musk also reinstated the accounts of previously banned conspiracy theorists, created financial incentives to post viral content, and ended the legitimacy of verified badges. But the combination of Musk’s 198 million-strong following coupled with an algorithm boosting his posts has elevated false claims that would typically be confined to less visible corners of the internet. Though Musk has styled himself as a free-speech absolutist, his tendency to champion posts from fringe, right-wing voices while regularly attacking news organizations and journalists presents a major issue for voters seeking reliable information online during an already-turbulent election period."
Iranian hackers sent stolen Trump campaign information to people associated with Biden campaign | CNN Politics,"Updated 10:04 PM EDT, Wed September 18, 2024",2024-09-18T22:26:04.473Z,https://www.cnn.com/2024/09/18/politics/iranian-hackers-trump-biden-campaigns/index.html,"Iranian hackers sent unsolicited information they stole from Donald Trump’s presidential campaign to people who were affiliated with Joe Biden’s campaign over the summer, federal law enforcement officials said Wednesday. The Office of the Director of National Intelligence, the FBI and the Cybersecurity and Infrastructure Security Agency said in a joint statement that in late June and early July, Iranian malicious cyber actors “sent unsolicited emails to individuals then associated with President Biden’s campaign that contained an excerpt taken from stolen, non-public material from former President Trump’s campaign as text in the emails.” There is no indication that Biden’s staff ever replied, the statement says. A spokesperson for Vice President Kamala Harris’ campaign said that “a few individuals were targeted on their personal emails.” “We have cooperated with the appropriate law enforcement authorities since we were made aware that individuals associated with the then-Biden campaign were among the intended victims of this foreign influence operation,” said Morgan Finkelstein, national security spokesperson for the Harris campaign. “We’re not aware of any material being sent directly to the campaign; a few individuals were targeted on their personal emails with what looked like a spam or phishing attempt. We condemn in the strongest terms any effort by foreign actors to interfere in U.S. elections including this unwelcome and unacceptable malicious activity.” A campaign official told CNN that “the material was not used.” The Trump campaign said in a statement that Harris and Biden “must come clean on whether they used the hacked material,” claiming it’s “further proof the Iranians are actively interfering in the election” to help the Democratic ticket. During a rally Wednesday night in New York, Trump claimed without evidence that Biden was involved in the hack despite the law enforcement statement. “Iran hacked into my campaign. I don’t know what the hell they found. I’d like to find out, couldn’t have been too exciting, but they gave it to the Biden campaign. I can’t believe it – oh yes I can,” he said. Iranian government-linked hackers have also previously unsuccessfully tried to hack the Biden-Harris campaign, according to US officials and private experts, but the activity disclosed Wednesday appears to be another Iranian attempt to disseminate information stolen from the Trump campaign. Along with Russia, Iran has emerged as one of the most aggressive foreign powers trying to influence the 2024 US presidential election, according to US intelligence officials. And in doing so, Iran is using a hack-and-leak playbook that Russia used to try to sway the 2016 US election. During the 2016 election, Trump famously called for Russia to “find” tens of thousands of emails belonging to Hillary Clinton, then the Democratic presidential candidate. Russian military intelligence hackers did steal emails from Clinton campaign officials and the Democratic National Committee and sent them to WikiLeaks in a bid to undermine Clinton’s candidacy, according to US intelligence and Justice Department reports. CNN previously reported that Iranian government-backed hackers this summer stole internal Trump campaign documents and shared them with news organizations. The law enforcement statement Wednesday said that the hackers’ efforts to send information to US media outlets have continued. The hack is one of several efforts by the Iranian government attempting to “stoke discord and undermine confidence in our electoral process,” the statement said. Beginning on July 22, Politico reported,  it had received emails that contained internal communications from a senior Trump campaign official and a research dossier the campaign had put together on Trump’s running mate, Ohio Sen. JD Vance. The New York Times and The Washington Post later reported that they, too, had been sent a similar cache, including a 271-page document on Vance dated February 23 and labeled “privileged & confidential,” that the outlets said was based on publicly available information. The Iranian hackers did breach the email account of longtime Trump ally Roger Stone to target campaign staff in June, CNN has reported. US officials believe the hackers work for Iran’s Islamic Revolutionary Guard Corps. Investigators believe the suspected Iranian hackers breached Stone’s account and then used that email account to try to break into the account of a senior Trump campaign official as part of a persistent effort to access campaign networks. The Iranian government has denied US allegations that it is trying to meddle in the November election. Russia, meanwhile, has conducted its own covert influence operations aimed at denigrating Harris’ campaign, according to US officials. Russian operatives have in recent weeks intensified their online attacks on Harris’ campaign by producing and disseminating videos promoting “outlandish conspiracy theories” aimed at stoking US racial and political divisions, Microsoft researchers said this week. At a Senate Intelligence Committee hearing Wednesday on foreign meddling in US elections, tech executives from Microsoft, Meta and Google touted their work to shut down fake accounts set up by Russian, Iranian and Chinese operatives on their platforms. But multiple lawmakers on the committee worried that not enough was being done by the tech platforms on the issue. The panel invited social media platform X to testify, but the company did not send a representative, according to Senate Intelligence Chairman Mark Warner. An X spokesperson told CNN in an email that its invited witness to the hearing was its former head of global affairs, Nick Pickles, who resigned on September 6. US tech companies have made “uneven” progress in curbing foreign disinformation on their platforms since the 2016 election, Warner said at the hearing. “Too many of the companies have dramatically cut back on their own efforts to prohibit false information [from foreign sources],” the Virginia Democrat said. Microsoft President Brad Smith told the lawmakers that “every day we know that there is a presidential race between Donald Trump and Kamala Harris.” “But this has also become an election of Iran versus Trump, and Russia versus Harris,” he added. This story has been updated with additional details."
Analysis: Why are we still talking about cat memes in the 2024 campaign? | CNN Politics,"Published 5:44 PM EDT, Wed September 18, 2024",2024-09-18T21:44:14.895Z,https://www.cnn.com/2024/09/18/politics/cat-memes-election-trump-what-matters/index.html,"Far be it from anyone to identify a defined strategy in the cat memes that have overtaken the American political conversation in a pivotal election year. But it’s worth considering why, rather than move on from insults against “childless cat ladies” and false stories about Haitian migrants eating cats in Ohio, former President Donald Trump’s campaign and his allies keep the controversies simmering. Beyond Trump’s general refusal to ever admit an error, do they see an upside in stirring the pot? Why else, the day after the Republican mayor of Springfield, Ohio, said at a press conference that he’d prefer neither campaign turn his city into a background for a political event, would Vivek Ramaswamy, the Ohio-based businessman who is one of Trump’s most vocal and spirited supporters, announce he would hold a town hall in the city? Never mind the state’s Republican governor, who also counseled against a campaign visit, called out state troopers to city schools to ease concern about scores of bomb threats. Why else, rather than move on from mean critiques of women without biological children, would Arkansas Gov. Sarah Huckabee Sanders open a town hall event with Trump in Michigan on Tuesdaywith a not-so-subtle reference to Vice President Kamala Harris’ personal life? Sanders began what could have been a touching anecdote by noting that her own children keep her humble. But then she aimed a barb at Harris, who, “unfortunately,” according to Sanders, “doesn’t have anything keeping her humble.” Harris is a stepmother. Intentional or not, the insult cued a new round of stories about how the Trump campaign doesn’t seem to mind turning off women voters. The Republican pollster Kristen Soltis Anderson said on CNN that she views Sanders as somebody “who’s a potentially really great messenger to women, to young moms, across the country.” That’s probably why Trump’s campaign picked Sanders to interview the former president during the town hall event. Women voters have shifted away from Trump since Harris entered the race, according to polls. But the need to “twist the knife in a little bit to Vice President Harris” contradicts that message, according to Anderson. Perceptions of the election are so set in stone that it may not matter who Trump, his running mate Sen. JD Vance or any other Republican offends. CNN’s senior data reporter, Harry Enten, said in an appearance on CNN Tuesday that pretty much everyone has made up their minds. “In fact, it’s the lowest level of undecideds that we’ve seen in polling at this point this entire 21st century.” He was referring to an aggregate of polling, but Enten later pointed me to a September New York Times/Siena College poll that tells a similar story. Enten argued that one difficulty in speaking to this tiny but consequential sliver of voters is that the campaigns might not know what they’re looking for. While most, 30%, cite the economy as their top issue, a large chunk of the undecided voters, 28%, he pointed out, say they don’t have a top issue. “What exactly are you going to talk about to the folks who say, ‘Wait a minute, we don’t have a top issue?’” Enten wondered. Will the cat memes pierce through? Another thing that separates this sliver of undecided voters from the rest of the country, Enten noted, is that large majorities of Harris supporters (70%) and Trump supporters (72%) say this is the most important election in their lifetime. Only about a quarter of undecided voters see this election as the most important in their lifetime. There’s also an argument that, in particular when it comes to the Springfield story, any coverage of the immigration issue benefits Trump – even when he’s saying things that are untrue about Haitian migrants, drawing the gentle rebuke of Ohio’s governor or unintentionally misgendering a Puerto Rican reggaeton star, as Trump did at one recent rally in Las Vegas. Trump assumed that the musician Nicky Jam is a woman. He’s not. So it was somewhat uncomfortable when Trump said of Jam, “She’s hot!,” and was then joined by a tattooed man in a MAGA hat. Jam, by the way, is not the only Puerto Rican musician to endorse Trump – something that has not gotten as much attention as Taylor Swift’s or Billie Eilish’s endorsements of Harris, but could in hindsight have an effect in Philadelphia, where there is a Puerto Rican population. Pennsylvania doesn’t have the largest Puerto Rican population in the continental US, but it is a major swing state. Every day the political conversation is tied to immigration is a winner for Trump, argued Lance Trover, who was an adviser to the short-lived presidential campaign of North Dakota Gov. Doug Burgum. In an appearance on CNN Wednesday, Trover noted that polling suggests a majority of Americans support the idea of mass deportation, for instance, even though the Haitians in Springfield are in the US legally. “I’m guessing the Trump campaign is wagering that Americans have moved on from the dogs and the cats and the memes, and they are wagering that Americans as a whole are looking at this community and asking themselves a foundational question: ‘What if 10, 20, 30,000 people moved into my community?’ And that’s a fair discussion to have across the country,” Trover said. Pushing verifiably incorrect stories seems like a bold wager, even if it does keep the focus on immigration. Insulting women seems even bolder in an election that could come down to relatively few votes in a handful of states. Anderson wrote in The New York Times that while Harris may have an edge in nationwide polling and Democrats remain fired up and united behind Harris after her strong debate performance, it’s not yet clear that the race has materially changed. Polling still suggests super tight races in those pivotal states. “It’s of course better to have your side more energized than your opponent’s, but an enthusiastic vote doesn’t count more than a begrudging one so long as they both turn out,” Anderson wrote. While Trump and Vance frequently gripe about which comments get coverage in the media, it’s hard to ignore that they keep teasing out these controversies with their comments and actions. There is evidence that the attacks on Harris’ personal life are having an effect, but not a good one for Trump, according to the anti-Trump Republican strategist Sarah Longwell, who appeared Wednesday on “The Lead” with CNN’s Jake Tapper. “Every time I do a focus group with swing voters, they bring up JD Vance talking about childless cat ladies. Like, this is the kind of thing that’s breaking through and is really causing, I think, independent voters to say … ‘Why do they keep attacking women?’” “I’ve never seen a campaign do more to alienate … the single largest voting bloc in an election,” Longwell said."
Sarah Huckabee Sanders is latest Trump ally to make dig at Harris over biological kids | CNN Politics,"Updated 8:40 PM EDT, Wed September 18, 2024",2024-09-18T20:13:02.515Z,https://www.cnn.com/2024/09/18/politics/sarah-huckabee-sanders-harris-kids/index.html,"Arkansas Gov. Sarah Huckabee Sanders reignited the controversy over how allies of Donald Trump talk about stepmothers and childless women when she told supporters of the former president Tuesday night that Kamala Harris doesn’t have anything to keep her humble. While introducing Trump at a Flint, Michigan, town hall, Sanders said her three children serve as a “permanent reminder of everything that is at stake in this country” ahead of the election. “My kids keep me humble. Unfortunately, Kamala Harris doesn’t have anything keeping her humble,” said Sanders, the first female governor of Arkansas and Trump’s former White House press secretary. “You would think after four years of straight failure, she would know a little humility. Unfortunately, she doesn’t.” The comments come as the Trump campaign attempts to narrow the gap with Harris among female voters. Sanders is one of several former Trump staffers who have attempted to vouch for the former president among women, despite his long history of sexual misconduct allegations and the fact that he was found liable of sexual abuse and defamation last year. During her time in the White House, Sanders, who at times faced sexist comments about her appearance, defended Trump after he was criticized for attacks on female politicians. Her remarks Tuesday, in which she argued that children serve as reminders of what matters in an election and alluded to the vice president’s lack of biological kids, are reminiscent of comments made by Trump’s running mate, JD Vance, a longtime critic of those, particularly elected officials, without children. The Ohio senator has railed against a “childless elite” in Washington, who he has argued doesn’t have a “direct stake” in the future of the country, and has said that the US was being run by “childless cat ladies who are miserable at their own lives and the choices that they’ve made.” Vance has also said the Democratic Party has become “anti-family and anti-child.” Those comments, made before he joined Trump on the Republican presidential ticket, have been widely criticized by members of both parties. Pop star Taylor Swift alluded to the Vance lines in her endorsement of Harris, signing off as a “Childless Cat Lady.” Trump has since said, “I hate Taylor Swift.” Sam Dubke, a spokesperson for Sanders, said the governor was referring to the Biden-Harris administration’s economic and border security policies. “Vice President Harris, without winning any votes, and after driving up prices by 20% and allowing nearly ten million illegal border crossings, is claiming she alone can solve America’s problems,” Dubke said in a statement to CNN. “That’s the lack of humility Governor Sanders was referencing.” The Harris and Trump campaigns did not respond to requests for comment. But second gentleman Doug Emhoff, speaking at a campaign fundraiser in Brooklyn on Wednesday, defended “our big, beautiful, blended family” and tied Vance’s comments to what he said was Trump’s agenda. “We know what they’re really trying to do. It’s Dobbs, it’s Project 2025, it’s spreading hate and trying to pit women against each other, trying to pit us all against each other,” he said. “But I’ve got news for him. Women in this country are sick and tired of weak men trying to take away their fundamental rights and then gaslight you about it.” He continued: “The women in this country will never humble themselves before Donald Trump.” While Harris does not have biological children, she has two stepchildren – Cole and Ella Emhoff – through her 10-year marriage to second gentleman Doug Emhoff. “We might not look like other families in the White House, but we are ready to represent all families in America,” Cole Emhoff said in a video introducing his father at last month’s Democratic National Convention. The second gentleman’s former wife, Kerstin Emhoff, has continually defended Harris and her role in their blended family. “Cole and Ella keep us inspired to make the world a better place. I do it through storytelling. Kamala Harris has spent her entire career working for the people, ALL families,” she wrote on social media Tuesday in response to Sanders’ remarks. “That keeps you pretty humble.” At the core of the Democratic backlash to the remarks by Vance, and now Sanders, however, has been that women’s value and contributions to their communities shouldn’t be based on whether they have had children. And Democrats slam the related GOP rhetoric as a distraction. “When you have no substance, you have to resort to superficiality,” said Donna Brazile, a Harris ally and veteran Democratic political strategist. Brazile pointed to Vance missing recent Senate votes to temporarily expand the child tax credit and to protect and expand access to in vitro fertilization, which Senate Republicans blocked. Members of Sanders own party have also balked at her remarks at the Flint event. Scott Jennings, a Republican strategist and CNN senior political commentator, said that he understood the value of stepparents, having been raised for several years by his stepmother. “My kind of Republican Party welcomes everyone,” Jennings said on CNN’s “NewsNight with Abby Phillip” on Tuesday. “We do encourage families, we encourage life, but we also encourage everybody to do what’s best for themselves in their own personal situation and respect other people’s choices.” Brian Lanza, a senior adviser to the Trump campaign who was also raised by a stepmother, told Phillip he was “offended” by the comment and “disappointed” in Sanders for saying that. “I’m sure I’m going to get criticism from the campaign, but I have to defend somebody who’s a stepmom. It’s a tough job,” Lanza said. “We should reward that and speak of that in a high tone.” This story has been been updated with comments from second gentleman Doug Emhoff."
Teamsters won’t endorse in presidential race after releasing internal polling showing most members support Trump | CNN Politics,"Updated 8:23 PM EDT, Wed September 18, 2024",2024-09-18T19:13:05.691Z,https://www.cnn.com/2024/09/18/politics/teamsters-will-not-endorse-us-president/index.html,"The International Brotherhood of Teamsters declined to endorse a presidential candidate on Wednesday after releasing internal polling that showed a majority of its members supported former President Donald Trump over Vice President Kamala Harris. It’s the first time in nearly three decades that the union has not endorsed a presidential candidate. “Unfortunately, neither major candidate was able to make serious commitments to our union to ensure the interests of working people are always put before Big Business,” Teamsters President Sean O’Brien said in a statement. “We sought commitments from both Trump and Harris not to interfere in critical union campaigns or core Teamsters industries – and to honor our members’ right to strike – but were unable to secure those pledges.” Ahead of the decision, the Teamsters shared internal data showing that a majority of members supported Trump over Harris. According to an electronic member poll that was initiated after President Joe Biden withdrew from the race, about 60% of members believed the union should endorse Trump while 34% supported Harris. About 6% said they supported another candidate. “It’s a great honor. They’re not going to endorse the Democrats. That’s a big thing,” Trump said during a campaign stop in New York City on Wednesday. “Democrats automatically have the Teamsters. They took a vote, and I guess I was at 60% or more, and that’s a great honor.” Harris met with Teamsters leaders on Monday. O’Brien had a prime-time speaking slot at this summer’s Republican National Convention but did not appear at the Democratic convention the following month. The Teamsters, which represents truck drivers, freight workers and other workers, is the last major labor union to announce a presidential endorsement. The nation’s other major labor organizations, including the American Federation of Teachers and the United Auto Workers, have backed Harris. The last time the Teamsters sat out a presidential election was 1996. It endorsed Democratic nominees in the ensuing six elections, including Trump’s opponents Hillary Clinton in 2016 and Biden in 2020. The union last backed a Republican presidential candidate in 1988, with an endorsement of George H.W. Bush. CNN previously reported that rank-and-file union membership had large pockets of Trump support, even as major labor leaders endorsed Harris. Before Biden dropped out of the race, Teamsters officials had suggested to various stakeholders that the union could remain politically neutral this cycle for the first time in decades. “At the end of the day, the Teamsters are not interested if you have a ‘D,’ ‘R’ or an ‘I’ next to your name. We want to know one thing,” O’Brien said at the RNC. “What are you doing to help American workers?” An endorsement from the Teamsters, which counts members across a variety of industries and is heavily represented in critical swing states such as Michigan, Wisconsin and Pennsylvania – all of which went for Trump in 2016 before backing Biden four years later – would have been a crucial get for either candidate. Later Wednesday, the Harris campaign touted support from local Teamsters’ chapters in Michigan, Wisconsin and Nevada, seeking to reaffirm its union support. Meanwhile, the president of the Teamsters’ National Black Caucus questioned the union’s decision to withhold an endorsement in the 2024 presidential race and suggested O’Brien was afraid to have “hard conversations” with members. “I’m not going to harp on the disappointment that my national leadership did not have the courage or the fortitude to stand up to this bully and to be able to go out and tell our entire membership, this is the best thing for you as members,” James “Curb” Curbeam, a member of Teamsters Local 480 in Nashville, said in reference to Trump. He also called into question the polling methodology used to support the union’s decision. “What is the actual number of people that took part in the polls?” Curbeam asked. Curbeam said the Black Caucus would do its own organizing in support of Harris. The Teamsters’ endorsements of Clinton and Biden in the past two presidential cycles came under previous leadership. While union members are thought of as a traditionally Democratic voting bloc, Trump has been working to make inroads among rank-and-file members. Biden had long enjoyed strong union support. He became the first sitting president to visit a picket line last September and frequently employed some version of the line, “The middle class built America, and unions built the middle class” in many of his stump speeches during his time as candidate. Harris has also begun using that line. The Teamsters internal data also revealed that a town hall straw poll taken before Biden exited the race showed him with 44% of members’ support compared with Trump’s 36%. That survey also included Robert F. Kennedy Jr., who garnered about 6% of members’ support. Kennedy has since suspended his campaign and endorsed Trump. But Harris does not have the same long history with unions and working people as the president. Her running mate, Minnesota Gov. Tim Walz, is himself a former union member as a public school teacher. This story has been updated with additional information."
Melania Trump says she stands ‘proudly behind my nude modeling work’ | CNN Politics,"Published 12:41 PM EDT, Wed September 18, 2024",2024-09-18T16:41:01.109Z,https://www.cnn.com/2024/09/18/politics/melania-trump-nude-modeling/index.html,"Former first lady Melania Trump posted a new video on social media Wednesday defending her previous nude modeling work as she promoted her new book. “Why do I stand proudly behind my nude modeling work? The more pressing question is: Why has the media chosen to scrutinize my celebration of the human form in a fashion photo shoot?” she said in the video posted on X. The former first lady added: “Are we no longer able to appreciate the beauty of the human body? Throughout history, master artists have revered the human shape, evoking profound emotions and admiration.” “We should honor our bodies and embrace the timeless tradition of using art as a powerful means of self expression,” she said. A spokesperson for the former first lady did not immediately respond to questions about what media scrutiny Melania Trump was referring to or whether the photographs had received recent attention. The former first lady’s forthcoming memoir, titled “Melania,” is set to hit shelves in October, according to Skyhorse Publishing. Her office, when announcing the book, described it as “a powerful and inspiring story of a woman who has carved her own path, overcome adversity and defined personal excellence.” Melania Trump’s history of nude modeling was highlighted in the 2016 campaign, when the New York Post published several nude photos – which were reportedly taken in 1995 and appeared in a now-defunct French men’s magazine – that had not previously been published online. The headline on its cover was “The Ogle Office.” At the time, Donald Trump told the newspaper that the photographs were taken for a European magazine before the two knew each other and that “pictures like this are very fashionable and common.” A 2000 British GQ cover in which the Slovenian-born Melania Trump was photographed nude on Trump’s plane also resurfaced during that campaign. A year after that photo shoot’s publication, the former first lady got legal residency in the United States, receiving a green card under the elite EB-1 program, The Washington Post reported. The former president and first lady were married in 2005. Donald Trump’s two prior marriages were also to models: Ivana Zelníčková and Marla Maples. His numerous business ventures also included a modeling agency called Trump Model Management; it was closed shortly after he took office in 2017. Melania Trump has maintained a low profile throughout her husband’s 2024 presidential campaign, making only a handful of public appearances since the former president launched his third White House bid: his campaign kickoff in November 2022 at their Mar-a-Lago home, a brief appearance in March when she accompanied him to vote in the Florida presidential primary and her attendance at the Republican National Convention in Milwaukee this summer. In July, she released a letter following the assassination attempt on her husband at a Pennsylvania rally, thanking Secret Service agents and law enforcement officials for protecting the former president and saying that she was thinking of her “fellow Americans” in the wake of the shooting. Earlier this month, the former first lady appeared to be inching further into the political spotlight in the final few months of the 2024 presidential campaign, releasing a series of politically pointed social media videos. Trump campaign advisers and close allies have said that the former first lady is supportive of her husband and his political ambitions and that she has been focused on raising their son, Barron. They added that she is very selective in choosing her political appearances. Melania Trump has appeared infrequently at private events this year, including hosting a fundraiser for a conservative LGBTQ group, the Log Cabin Republicans, at her residence at Trump Tower in New York on July 8, as well as attending an April fundraiser alongside her husband at the home of investor John Paulson."
Analysis: Ohio Republicans are being very careful in correcting Trump and Vance | CNN Politics,"Published 10:20 AM EDT, Wed September 18, 2024",2024-09-18T14:20:13.715Z,https://www.cnn.com/2024/09/18/politics/ohio-republicans-haitian-migrants-trump-what-matters/index.html,"Haiti clearly holds a place in the heart of Ohio’s Republican Gov. Mike DeWine. He’s been to the country at least 25 times with his wife, he said at a press conference Monday in Springfield. He helped found a school in Haiti that bears the name of his daughter, Becky, who died decades ago in a car accident. He respects the Haitians who have come to the US legally and found work in Springfield. “They’re legal,” he said on “PBS Newshour” Tuesday night. “They want to work. In fact, they want to work overtime,” he said. Further, DeWine said the Haitians found Springfield because business owners there were having trouble finding workers after the Covid-19 pandemic. But while he is defending the Haitians legally working in Springfield with Temporary Protected Status due to violence and a humanitarian crisis after storms and an earthquake there, DeWine wants to separate them from the larger immigration and border debate fueling the Republican political argument in 2024. “The immigration issue, and the border issue, obviously, is fair game,” DeWine said in the PBS interview, and it’s a refrain he has repeated in press conferences and interviews in recent days. But that’s a different issue than what’s going on in Springfield, he said. Without specifically criticizing former President Donald Trump or Trump’s running mate, Sen. JD Vance, by name, DeWine said their insistence on spreading false rumors of animal abuse by the Haitian community is “very hurtful for these men and women who work very, very hard.” Their comments are also having an effect on the rest of the community. Ohio state troopers are in Springfield schools this week after scores of bomb threats – some coming from abroad and some from in the US – put the community on edge. When he was asked if the comments from Trump and Vance were fueling the bomb threats, DeWine deflected. “The people who are making these threats are the bad people. They’re the wrong people,” he said. There’s no indication that either Trump or Vance will stop talking about the unfounded rumors of animal abuse. “If I have to create stories so that the American media actually pays attention to the suffering of the American people, then that’s what I’m going to do,” Vance told CNN’s Dana Bash on Sunday. Vance later clarified: “I say that we’re creating a story, meaning we’re creating the American media focusing on it. I didn’t create 20,000 illegal migrants coming into Springfield.” And on this point, there seems to be an ocean of disconnect between Republican leaders in Ohio, who argue that Haitians filled a desperate need in Springfield, and Trump and Vance, who argue, as Vance did, that “thousands of residents have had their lives destroyed” by the arrival of the Haitians. Like DeWine, Springfield Mayor Rob Rue has also tried very hard to correct the record on the role Haitians are playing in Springfield. Rue chose his words very carefully during an interview Tuesday when CNN’s Boris Sanchez asked if the attention brought by Vance’s story was helpful. “It’s brought a lot of negative attention to our community,” Rue said, adding that he was doing so many interviews to make sure that people are “listening to the real and true story of Springfield.” While Rue and DeWine have both said the community has admittedly had strain on its infrastructure – everything from staffing the schools to making sure the population is protected through vaccination to getting people driver’s licenses – there is also a larger story. “We are a beautiful city. We are not a horrible city. We are not falling apart. We have strain and stress and we’re trying to figure it out, but none of this attention that has been brought upon Springfield, Ohio, is helping us,” Rue said, noting there were state troopers in his city’s schools only because of threats received in the past week. At a press conference Tuesday, Rue and DeWine discouraged Trump from making a trip to the city. DeWine said the city and state are stretched resource-wise, but that “if President Trump makes that decision to come here, he will be welcomed.” Rue put it differently, saying a visit by any presidential candidate “would be an extreme strain on our resources, so it would be fine with me if they decided not to make that stop right now.”"
